e00125 | # 熊 | 5. 약관을 쉽게 이용 할 수 있는 꿀팁 아래 7가지 꿀팁을 활용하시면 약관을 보다 쉽고 편리하게 이용할 수 있습니다.
e00382 | 제2조 용어의 정의 | 계약의 청약 계약자가 회사에 대하여 일정한 계약을 체결할 것을 목적으로 하는 의사표시로서 이를 회사가 승낙하면 계약이 성립합니다.
e00692 | 제38조 약관의 해석 | ② 회사는 약관의 뜻이 명백하지 않은 경우에는 계약자에게 유리하게 해석합니다.
e00703 | 제40조 회사의 손해배상책임 | 현저하게 공정을 잃은 합의 회사가 보험수익자의 경제적, 신체적, 정신적인 어려움, 경솔함, 경험이나 지식의 부족 등을 이용하여 보험금의 지급여부나 보험금의 액수에 대해 동일, 유사
e00706 | 제41조 개인정보보호 | ② 회사는 계약과 관련된 개인정보를 안전하게 관리하여야 합니다.
e00280 | # 청약서 | ② 청약서의 질문사항과 과거 질병 치료사실 등에 대하여 보험설계사에게만 알린 경우 보험회사에 알리지 않은 것으로 간주되므로, 반드시 청약서에 서면으로 알리시기 바랍니다.
e00494 | 제14조 계약 전 알릴 의무 위반의 효과 | ② 회사는 제1항에 따라 계약을 해지하거나 보장을 제한할 경우에는 계약 전 알릴 의무 위반사실(계약해지 등의 원인이 되는 위반사실을 구체적으로 명시) 분만 아니라 계약 전 알릴 의
e00826 | 제1-8조 계약 전 알릴 의무 위반의 효과 | ② 회사는 제1항에 따라 특약을 해지하거나 보장을 제한할 경우에는 계약 전 알릴 의무 위반사실(계약해지 등의 원인이 되는 위반사실을 구체적으로 명시) 분만 아니라 계약 전 알릴 의
e00545 | 제18조 약관교부 및 설명의무 등 | ④ 제3항에도 불구하고 전화를 이용하여 계약을 체결하는 경우 다음 각 호의 어느 하나를 충족하는 때에는 자필서명(전자서명 포함)을 생략할 수 있으며, 위 제2항의 규정에 따른 음성
c03498 | 제2-12조 주계약 약관 규정의 준용 | 
e18489 | 제2-12조 주계약 약관 규정의 준용 | ※ 이 약관에서 "급여수술"이라 함은 의사에 의하여 "수술보장대상 질병 또는 재해"의 직접적인 치료를 목적으로 필요하다고 인정된 경우로서 의료기관에서 의사의 관리하에 "신수술 분류
e31187 |  | ② 복지용구의 품목별 급여대상의 범위, 급여결정방법, 세부적인 제공기준 및 절차 등 그 밖에 필요한 사항은 보건복지부장관이 정하여 고시한다.
c03192 | 제2-12조 주계약 약관 규정의 준용 | 
c04583 | 제2-12조 주계약 약관 규정의 준용 | 
e30947 |  | ① 집합투자업자는 자산운용보고서를 작성하여 해당 집합투자재산을 보관·관리하는 신탁업자의 확인을 받아 3개월마다 1회 이상 해당 집합투자기구의 투자자에게 교부하여야 한다. 다만, 투
e00952 | 제2-4조 보험금을 지급하지 않는 사유 | 1. 피보험자가 고의로 자신을 해친 경우 다만, 다음 중 어느 하나에 해당하면 보험금을 지급합니다.
c04660 | 제2-7조 보험수익자의 지정 | 
e00423 | 제5조 보험금 등을 지급하지 않는 사유 | 1. 피보험자가 고의로 자신을 해친 경우 다만, 다음 중 어느 하나에 해당하면 보험금을 지급하거나 보험료의 납입을 면제합니다.
e01114 | 제2-4조 보험금을 지급하지 않는 사유 | 1. 피보험자가 고의로 자신을 해친 경우 다만, 다음 중 어느 하나에 해당하면 보험금을 지급합니다. 가. 피보험자가 심신상실 등으로 자유로운 의사결정을 할 수 없는 상태에서 자신을
e30976 | ## 응급의료에 관한 법률 제2조(정의) | ② 시장·군수·구청장은 제1항에 따른 신고를 받은 경우 그 내용을 검토하여 이 법에 적합하면 신고를 수리하여야 한다.
