척추(등뼈) 장해분류표상 해당 조건은 다음과 같습니다.

| 구분 | 해당 조건 | 지급률 |
|---|---|---:|
| 심한 운동장해 | 척추체 4개 이상을 유합·고정하거나, 머리뼈·제1·제2경추를 모두 유합·고정 | 40% |
| 뚜렷한 운동장해 | 척추체 3개를 유합·고정하거나, 머리뼈와 제1경추 또는 제1·제2경추를 유합·고정 | 30% |
| 약간의 운동장해 | 상위경추를 제외한 척추체 2개를 유합·고정 | 10% |
| 심한 기형 | 전만·후만 35° 이상, 측만 20° 이상 또는 척추체 1개의 압박률 60% 이상 | 50% |
| 뚜렷한 기형 | 전만·후만 15° 이상, 측만 10° 이상 또는 척추체 1개의 압박률 40% 이상 | 30% |
| 약간의 기형 | 경도의 척추 변형 또는 척추체 1개의 압박률 20% 이상 | 15% |
| 심한 신경장해 | 2마디 이상 수술 후 마미신경증후군으로 하지 마비나 대소변 장해 발생 | 20% |
| 뚜렷한 신경장해 | 1마디 수술 후 명확한 신경근병증과 불완전 마비가 지속 | 15% |
| 약간의 신경장해 | 추간판탈출증 및 신경생리검사상 명확한 신경근병증이 지속 | 10% |

참고로 단순한 저림·방사통만으로는 운동장해나 기형장해로 인정되지 않으며, 추간판탈출증에 따른 신경장해는 수술 또는 시술 후 6개월이 지난 뒤 평가합니다.
